,country,year,population,gdp,co2,co2_growth_prct,Emissions_per_capita,GDP_per_capita
0,Australia,1980,14706329.0,335756460032.0,220.532,7.645,14.995720549975456,22830.745866762536
1,Australia,1981,14930055.0,348726755328.0,230.133,4.354,15.414075835621503,23357.365751700177
2,Australia,1982,15168446.0,348301459456.0,233.889,1.632,15.41944375844434,22962.23749328046
3,Australia,1983,15383079.0,348353560576.0,224.786,-3.892,14.61254928223407,22645.24290462267
4,Australia,1984,15579478.0,372379582464.0,236.362,5.15,15.171368386026797,23901.929349879374
5,Australia,1985,15785685.0,391229276160.0,240.989,1.958,15.266299815307349,24783.801029857113
6,Australia,1986,16012299.0,399344402432.0,239.723,-0.525,14.97117934157987,24939.85419782631
7,Australia,1987,16259251.0,419094036480.0,255.851,6.728,15.735718699465307,25775.72832106473
8,Australia,1988,16525901.0,437912797184.0,260.88,1.965,15.786128695796979,26498.573190290805
9,Australia,1989,16796586.0,457176154112.0,277.487,6.366,16.52044052285387,27218.39748339335
10,Australia,1990,17048002.0,464136601600.0,278.154,0.24,16.315929573447963,27225.278457850956
11,Australia,1991,17271092.0,461003816960.0,279.529,0.494,16.184790168450263,26692.221717074983
12,Australia,1992,17462500.0,477843226624.0,284.525,1.788,16.29348604151754,27363.964302018612
13,Australia,1993,17631514.0,500840595456.0,288.871,1.527,16.383788709239603,28405.989154192885
14,Australia,1994,17805506.0,527346171904.0,293.697,1.671,16.49472921465978,29617.028120627405
15,Australia,1995,18003002.0,549172871168.0,305.003,3.85,16.94178559775753,30504.51647830734
16,Australia,1996,18211850.0,574551425024.0,311.886,2.257,17.12544304944308,31548.218606237147
17,Australia,1997,18410254.0,600621056000.0,320.283,2.692,17.396989742781386,32624.267758608872
18,Australia,1998,18601666.0,634305052672.0,334.076,4.307,17.959466641321267,34099.36790994957
19,Australia,1999,18800892.0,664206835712.0,343.489,2.818,18.26982464449027,35328.474612374775
20,Australia,2000,19017968.0,691886620672.0,349.635,1.79,18.384456215301235,36380.680663254876
21,Australia,2001,19248146.0,713625763840.0,357.132,2.144,18.554098664879206,37075.03901102995
22,Australia,2002,19475842.0,746683498496.0,361.541,1.234,18.56356197590841,38338.958515683174
23,Australia,2003,19699004.0,773868617728.0,369.28,2.14,18.746125438626237,39284.6571191112
24,Australia,2004,19925060.0,809419735040.0,382.821,3.667,19.213041265622287,40623.20188947988
25,Australia,2005,20171732.0,840554577920.0,386.154,0.871,19.143323934702284,41669.92591017965
26,Australia,2006,20467032.0,868838998016.0,392.384,1.614,19.17151446286887,42450.65908999409
27,Australia,2007,20830832.0,913875861504.0,399.625,1.845,19.184303344196717,43871.3087170018
28,Australia,2008,21247876.0,942108901376.0,404.233,1.153,19.02463097958591,44338.96834563605
29,Australia,2009,21660898.0,964937515008.0,407.065,0.701,18.792618847104123,44547.43819983825
30,Australia,2010,22019166.0,994067742720.0,405.103,-0.482,18.397744946379895,45145.567398874235
31,Australia,2011,22357032.0,1026035417088.0,403.829,-0.315,18.062728541069315,45893.18551263871
32,Australia,2012,22729272.0,1064162361344.0,406.151,0.575,17.86907209346608,46819.02532311637
33,Australia,2013,23111788.0,1087110184960.0,397.887,-2.035,17.215760199946452,47037.04382196652
34,Australia,2014,23469578.0,1117472423936.0,393.953,-0.989,16.785687412019083,47613.65645074658
35,Australia,2015,23820240.0,1145386827776.0,401.793,1.99,16.867714179202224,48084.60484764217
36,Australia,2016,24195706.0,1176481300480.0,411.264,2.357,16.997396149548187,48623.55743948947
37,Australia,2017,24590336.0,1205343092736.0,414.358,0.752,16.850440758515866,49016.94278337636
38,Australia,2018,24979228.0,1238559621120.0,416.284,0.465,16.665206787015194,49583.58285212017
39,Australia,2019,25357168.0,,416.357,0.017,16.419696395117942,
40,Australia,2020,25670052.0,,399.922,-3.947,15.579321771533614,
41,Australia,2021,25921094.0,,391.187,-2.184,15.091454087547385,
42,Canada,1980,24511512.0,634113622016.0,442.847,0.265,18.06689852506855,25870.032906007593
43,Canada,1981,24815780.0,653774422016.0,429.63,-2.985,17.31277437179085,26345.108717759427
44,Canada,1982,25101514.0,633852985344.0,414.455,-3.532,16.511155462574887,25251.58384247261
45,Canada,1983,25360732.0,652317687808.0,408.339,-1.476,16.10123083198072,25721.563865270135
46,Canada,1984,25602080.0,689733500928.0,425.233,4.137,16.60931455569235,26940.525962265565
47,Canada,1985,25843920.0,727013326848.0,421.719,-0.827,16.31791926302202,28130.923128070353
48,Canada,1986,26116076.0,746074603520.0,404.708,-4.034,15.496508740440179,28567.63793764423
49,Canada,1987,26436886.0,776472494080.0,430.982,6.492,16.302298235881487,29370.80010406672
50,Canada,1988,26815068.0,814240038912.0,455.669,5.728,16.99302049131481,30365.018612371223
51,Canada,1989,27244408.0,833918730240.0,462.885,1.584,16.99009205852445,30608.80347409274
52,Canada,1990,27657206.0,835996811264.0,458.218,-1.008,16.567761761618293,30227.088421874574
53,Canada,1991,28015762.0,820551417856.0,449.96,-1.802,16.060958827391524,29288.920210558612
54,Canada,1992,28347644.0,830132649984.0,463.759,3.067,16.35970170924963,29284.008575245265
55,Canada,1993,28668168.0,854596321280.0,464.312,0.119,16.196082009844506,29809.93837066952
56,Canada,1994,28981190.0,895509659648.0,478.726,3.105,16.518507349077108,30899.68561152941
57,Canada,1995,29289430.0,922093223936.0,491.387,2.645,16.77693966731343,31482.115696208497
58,Canada,1996,29593856.0,939604049920.0,507.511,3.281,17.149201509935036,31749.970328976393
59,Canada,1997,29882752.0,982580592640.0,521.84,2.823,17.46291640073846,32881.19489931851
60,Canada,1998,30144816.0,1023603507200.0,529.65,1.497,17.57018520199294,33956.20352102995
61,Canada,1999,30399776.0,1079504207872.0,544.064,2.721,17.896973977702995,35510.268492504685
62,Canada,2000,30683316.0,1138677121024.0,566.69,4.159,18.46899468101818,37110.627841658315
63,Canada,2001,31002768.0,1162073341952.0,558.778,-1.396,18.023487451185005,37482.889977823914
64,Canada,2002,31322400.0,1200474947584.0,564.051,0.944,18.00791127116696,38326.40371057135
65,Canada,2003,31619456.0,1225605382144.0,581.305,3.059,18.384408637517357,38761.11537605201
66,Canada,2004,31911670.0,1267051659264.0,579.592,-0.295,18.162383855185265,39704.96245617983
67,Canada,2005,32215914.0,1311262900224.0,574.654,-0.852,17.837581761610117,40702.33426324642
68,Canada,2006,32531864.0,1349429624832.0,568.451,-1.079,17.473668277968947,41480.243026713746
69,Canada,2007,32862458.0,1381196103680.0,593.516,4.409,18.060608856464725,42029.60422741354
70,Canada,2008,33218542.0,1398902882304.0,576.558,-2.857,17.356511312266505,42112.10962552179
71,Canada,2009,33593920.0,1361508171776.0,543.968,-5.653,16.19245387260552,40528.410253283924
72,Canada,2010,33963416.0,1407421775872.0,556.561,2.315,16.387073667737074,41439.34685109413
73,Canada,2011,34323536.0,1455579594752.0,567.054,1.885,16.520850299339788,42407.623583770626
74,Canada,2012,34691876.0,1479801044992.0,568.223,0.206,16.379137294276042,42655.54981783055
75,Canada,2013,35063696.0,1514897276928.0,572.613,0.773,16.330651509184886,43204.152720466205
76,Canada,2014,35404616.0,1552197222400.0,569.84,-0.484,16.095076416024398,43841.66240921805
77,Canada,2015,35732120.0,1565171122176.0,574.298,0.782,16.07231812721999,43802.917995797616
78,Canada,2016,36113532.0,1586146836480.0,560.525,-2.398,15.521190228637842,43921.121768981226
79,Canada,2017,36554344.0,1636443488256.0,571.545,1.966,15.635487809602054,44767.415009718134
80,Canada,2018,37035260.0,1669401542656.0,584.369,2.244,15.778720062988622,45076.004398403034
81,Canada,2019,37522584.0,,584.714,0.059,15.582988634258237,
82,Canada,2020,37888704.0,,534.864,-8.526,14.116714047543038,
83,Canada,2021,38155012.0,,545.635,2.014,14.300480366773309,
84,Denmark,1980,5125397.0,124346114048.0,60.348,-4.176,11.774307434136322,24260.777076975697
85,Denmark,1981,5126983.0,123240390656.0,51.773,-14.21,10.098141538600771,24037.604699684005
86,Denmark,1982,5126402.0,126957510656.0,53.684,3.692,10.472062081748563,24765.422348071806
87,Denmark,1983,5124341.0,130158862336.0,50.168,-6.55,9.790136917117733,25400.1172708842
88,Denmark,1984,5121317.0,135871946752.0,50.856,1.373,9.930258173825209,26530.66520818766
89,Denmark,1985,5119453.0,141700382720.0,60.065,18.107,11.732698786374247,27678.813091945565
90,Denmark,1986,5119368.0,146862030848.0,58.907,-1.928,11.506693795015321,28687.53151717165
91,Denmark,1987,5121515.0,147289145344.0,58.346,-0.952,11.392332151716825,28758.90148598608
92,Denmark,1988,5126107.0,149007302656.0,55.112,-5.543,10.751238708048817,29068.316883748234
93,Denmark,1989,5133937.0,149399519232.0,48.809,-11.437,9.507128739600818,29100.380318652136
94,Denmark,1990,5144626.0,151205740544.0,53.585,9.785,10.415723125451684,29391.007343196572
95,Denmark,1991,5158325.0,154193559552.0,64.2,19.81,12.445900558805427,29892.176152530134
96,Denmark,1992,5175466.0,158107713536.0,58.391,-9.049,11.282269074900695,30549.464248436758
97,Denmark,1993,5193776.0,159029510144.0,60.637,3.847,11.674935538228834,30619.24698793325
98,Denmark,1994,5213801.0,168468807680.0,64.698,6.697,12.408989142470146,32312.090100868827
99,Denmark,1995,5235205.0,174565621760.0,61.614,-4.766,11.769166632443238,33344.562774523634
100,Denmark,1996,5256002.0,180657864704.0,74.869,21.512,14.244477075921965,34371.726780925885
101,Denmark,1997,5277385.0,187612758016.0,65.469,-12.555,12.405575867593512,35550.32615888361
102,Denmark,1998,5298991.0,192868466688.0,61.238,-6.462,11.556539726147864,36397.20593750772
103,Denmark,1999,5319856.0,199692681216.0,58.652,-4.222,11.025110454117556,37537.23431912443
104,Denmark,2000,5340662.0,208358719488.0,54.306,-7.41,10.168402344128873,39013.65027182023
105,Denmark,2001,5360753.0,211275268096.0,55.896,2.928,10.426893386059756,39411.49090361
106,Denmark,2002,5378700.0,213475426304.0,55.554,-0.613,10.328518043393386,39689.037556286836
107,Denmark,2003,5396355.0,215532699648.0,60.645,9.165,11.238141300933686,39940.422683088866
108,Denmark,2004,5415583.0,222551113728.0,55.1,-9.144,10.17434318705853,41094.58090255472
109,Denmark,2005,5436314.0,229050957824.0,51.535,-6.47,9.479768828658536,42133.50402938462
110,Denmark,2006,5457863.0,239379202048.0,59.488,15.432,10.899504073297553,43859.510956577695
111,Denmark,2007,5479722.0,242933465088.0,54.709,-8.033,9.983900643134817,44333.17330477714
112,Denmark,2008,5502752.0,243073646592.0,51.256,-6.311,9.314612034124016,44173.10585539744
113,Denmark,2009,5526455.0,232468676608.0,48.851,-4.692,8.839482091141608,42064.7008992202
114,Denmark,2010,5550850.0,238176026624.0,49.204,0.721,8.864228001116945,42908.027891944475
115,Denmark,2011,5576016.0,242738380800.0,44.248,-10.072,7.935414819469671,43532.5832637496
116,Denmark,2012,5600955.0,243290013696.0,39.871,-9.892,7.118607451764922,43437.23770249895
117,Denmark,2013,5625393.0,245558509568.0,41.773,4.771,7.425792295756048,43651.79633991794
118,Denmark,2014,5650654.0,249673711616.0,37.578,-10.043,6.65020367553915,44184.92295157339
119,Denmark,2015,5677795.0,253683007488.0,35.228,-6.253,6.204521297440292,44679.846223401866
120,Denmark,2016,5706856.0,256821805056.0,37.033,5.125,6.489212273798393,45002.3279115506
121,Denmark,2017,5737286.0,262051119104.0,34.78,-6.084,6.062099745419698,45675.10127680579
122,Denmark,2018,5766689.0,268317622272.0,34.725,-0.159,6.021652979725454,46528.88724743089
123,Denmark,2019,5795879.0,,30.955,-10.855,5.340863741289285,
124,Denmark,2020,5825638.0,,28.282,-8.636,4.854747239701472,
